,algorithm,environment_info,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd
18,DQN,PHM C01 SS NBD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.491409648703699,0.5650000000000001,0.5239201782171399,0.5035774523955836,0.0645635430324479,0.1131616346451196,0.0811689992050947,0.069533137629638,0.6469074103501244,0.97,0.775874549819928,0.6929409642644936,0.0270249301045272,0.0483045891539648,0.0311333361332715,0.0279569321983816,0.5053116246498599,0.4049999999999999,0.4446322580605452,0.4774026357414515,0.0981883679741301,0.0984603699182795,0.0885025040048988,0.089483157105443
93,PPO,PHM C01 SS NBD,0.9072727272727272,0.96,0.9322331327209376,0.9169547597995872,0.0381987039999986,0.0316227766016837,0.024348397656235,0.0315908768550404,0.5298764948389729,0.495,0.5068198379866216,0.5188631236403306,0.0942662310914479,0.0864420165325996,0.0654873711556877,0.0744240239815473,0.4987179487179487,0.98,0.6609779855834794,0.5530156213295748,0.0072775155409942,0.0258198889747161,0.0110036350620006,0.0082594770654077,0.5428221454537244,1.0,0.7034357052505873,0.5973572734066211,0.0219979987964329,0.0,0.0185954041587089,0.0213596836831628
58,RF_,PHM C04 MS NBD,0.9102272727272728,0.425,0.576977653006574,0.7376087454212454,0.0858654557560528,0.0540061724867321,0.0561058729682225,0.0596868099550203,0.5449206349206349,0.205,0.2922545822632029,0.399389336154042,0.1686682530645193,0.0955975359979999,0.1164640866747552,0.1335569732811653,0.4,0.03,0.0546583850931676,0.109375,0.5163977794943222,0.0483045891539647,0.0852372009294077,0.1599673541637422,0.5358650121808017,0.385,0.4426254330664938,0.4921846884840306,0.1424671783189308,0.1106797181058932,0.1086049146069756,0.1208792960549607
133,A2C,PHM C04 MS NBD,0.5278427128427128,0.22,0.3053753830625354,0.4043453176725236,0.2003431918613686,0.1085254706406647,0.1345661676266603,0.1602325523241781,0.5,1.0,0.6666666666666666,0.5555555555555556,0.0,0.0,0.0,0.0,0.35,0.025,0.0463203463203463,0.0952380952380952,0.4743416490252569,0.0353553390593273,0.0649847493103655,0.1314624505831543,0.4703684210526315,0.4549999999999999,0.4593482367166577,0.4651425707600745,0.0342139923102716,0.0797565740933693,0.0458926876097144,0.0342728912410498
13,DQN,PHM C04 MS NBD,0.89,0.175,0.2883401236444715,0.477223124098124,0.1555952330349805,0.0424918292799398,0.0583496595198968,0.0720051738465463,0.4927041321251847,0.615,0.5459066089045329,0.5124537424940651,0.0768599895858491,0.1292069829554287,0.0977771463758201,0.0842103699783981,0.5012838749680855,0.975,0.6620494837327099,0.5552042434309876,0.0129791057288677,0.0353553390593274,0.0180325639894766,0.0144462837516668,0.5228052584670231,0.3399999999999999,0.4069655291429484,0.4666126867413632,0.1336846466754575,0.1468181036369682,0.1489993166907118,0.1442860030373645
103,PPO,PHM C04 MS NBD,0.3166666666666666,0.04,0.069339356295878,0.1254960317460317,0.4335469558917038,0.0658280588604383,0.1108613508858967,0.1897648305867175,0.5024096624096624,0.945,0.6557813081132777,0.5542348317057619,0.0214414789342894,0.0643341968853959,0.0321027568189626,0.0245757900437406,0.3333333333333333,0.025,0.0459250894033502,0.0930059523809523,0.408248290463863,0.0263523138347364,0.0484651231928766,0.0991598353259116,0.5007151558530869,0.635,0.5579789409612099,0.5217933767639426,0.0777978402343939,0.1001387925719986,0.0815184212741598,0.0781862217561503
143,RF_,PHM C04 SS HBD,0.7082456064149427,0.8400000000000001,0.7665227425085868,0.7300656583714147,0.0678050305448571,0.0966091783079295,0.068348389964541,0.0654724216550017,0.5232701070858965,0.575,0.5451858981127274,0.5312111690991002,0.0569388976751301,0.1034139470499238,0.0711378759313298,0.0600928668886992,0.5106010869168764,0.985,0.6724548073866724,0.5649864508876137,0.0151007836741248,0.0241522945769824,0.0165006807432534,0.0155962884740213,0.319047619047619,0.0849999999999999,0.1328836863619472,0.2024936868686868,0.1788234553080337,0.0474341649025256,0.0733044113838162,0.1111247857316389
113,A2C,PHM C04 SS HBD,0.5979126878023937,0.995,0.7468362874023252,0.6497223438012911,0.014903277064278,0.0158113883008419,0.0129197712919176,0.0142989340903236,0.5209373576736006,0.835,0.6408263395709968,0.5629732370275133,0.0315768506966365,0.0944281031614352,0.0498147427308922,0.037053657625352,0.3205665024630542,0.4549999999999999,0.3761054421768707,0.3406862745098039,0.0218847904909232,0.0283823106098773,0.024563728213437,0.0228668929510902,0.5174603396827436,0.82,0.6332142478836655,0.5581190048213901,0.0355856537698334,0.0674948557710552,0.0366239530439146,0.0350029331180083
143,DQN,PHM C04 SS HBD,0.7082456064149427,0.8400000000000001,0.7665227425085868,0.7300656583714147,0.0678050305448571,0.0966091783079295,0.068348389964541,0.0654724216550017,0.5232701070858965,0.575,0.5451858981127274,0.5312111690991002,0.0569388976751301,0.1034139470499238,0.0711378759313298,0.0600928668886992,0.5106010869168764,0.985,0.6724548073866724,0.5649864508876137,0.0151007836741248,0.0241522945769824,0.0165006807432534,0.0155962884740213,0.319047619047619,0.0849999999999999,0.1328836863619472,0.2024936868686868,0.1788234553080337,0.0474341649025256,0.0733044113838162,0.1111247857316389
113,PPO,PHM C04 SS HBD,0.5979126878023937,0.995,0.7468362874023252,0.6497223438012911,0.014903277064278,0.0158113883008419,0.0129197712919176,0.0142989340903236,0.5209373576736006,0.835,0.6408263395709968,0.5629732370275133,0.0315768506966365,0.0944281031614352,0.0498147427308922,0.037053657625352,0.3205665024630542,0.4549999999999999,0.3761054421768707,0.3406862745098039,0.0218847904909232,0.0283823106098773,0.024563728213437,0.0228668929510902,0.5174603396827436,0.82,0.6332142478836655,0.5581190048213901,0.0355856537698334,0.0674948557710552,0.0366239530439146,0.0350029331180083
82,RF_,PHM C04 SS LBD,0.7984274742970395,0.98,0.8792919188224999,0.8288036641241592,0.0360858382842205,0.0258198889747161,0.0218444499828977,0.0304623374613639,0.5218659526654378,0.61,0.5582313946231513,0.5350292270040058,0.0676709371963463,0.1390443574307613,0.0838346051352759,0.0698795330881188,0.5065470328628223,0.985,0.6689460354568478,0.5610181969193597,0.0110753059950612,0.0241522945769824,0.0129201593062669,0.0115734722187067,0.4707714507714508,0.215,0.2882627207523013,0.3696467457980615,0.1131740382911075,0.0944281031614352,0.1076768702537297,0.1148497109650097
