,Unnamed: 0.1,Unnamed: 0,expt_n,environment,environment_info,data_file,Model_name,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,Round,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
27,3,3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1.0,-2,-40,0.12,0.95,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,2,0.7443697809215051,0.995,0.8511263401444451,0.7836095627767236,0.0409690892033369,0.0158113883008419,0.0293828517961442,0.0371029792080576,0.5200663466967814,0.595,0.5526286689928209,0.5320743672036775,0.0633139351536612,0.1212206436397878,0.0844468788368263,0.069634646909044,0.4973665973665973,0.965,0.6563392701508299,0.5507158377797913,0.0101931060476538,0.0337474278855276,0.0156925807071321,0.0117683700146019,0.3616341991341991,0.365,0.3625603643254477,0.3618058873493656,0.0619498865545338,0.0709068246206088,0.0646135643630042,0.0624350166652937,models/2_3_PHM_C01_SS_NoNBD__RF_Model_01-Jul-2023_15-24_0.74_0.99_0.78.mdl,186.6847505569458,32.1643226146698,1.468404769897461,31.617576122283936
28,4,4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1.0,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,2,1.0,0.49,0.649591933423969,0.8160451680672269,0.0,0.1173787790777267,0.114941760110921,0.0827320374962269,0.4947311256518417,0.51,0.501443667960968,0.4971965996965997,0.04846664097484,0.045946829173634,0.0425995564806463,0.0450686748564118,0.4,0.025,0.0467532467532467,0.0982142857142857,0.5163977794943222,0.0353553390593273,0.0653282946813086,0.1338734454449936,0.4960749964123277,0.6050000000000001,0.5432005579594165,0.5135496854590885,0.0562007428758912,0.1012422836565829,0.0671268892413707,0.0583307850030768,models/2_4_PHM_C01_SS_LowNBD__RF_Model_01-Jul-2023_15-28_1.00_0.49_0.82.mdl,167.29825282096863,32.50799226760864,1.484025955200195,31.47698450088501
29,5,5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1.0,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,2,0.1,0.005,0.0095238095238095,0.0208333333333333,0.3162277660168379,0.0158113883008418,0.0301169300968416,0.0658807845868412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5578095950012458,0.94,0.6999401018268943,0.6070985292342803,0.0079917304976634,0.0394405318873307,0.0153354292630324,0.0097546197344203,0.285,0.055,0.0917536231884057,0.1538194444444444,0.2719896966095009,0.0550252467307305,0.09050470195449,0.1489601769001574,models/2_5_PHM_C01_SS_HighNBD__RF_Model_01-Jul-2023_15-32_0.10_0.01_0.02.mdl,75.56038308143616,32.476749420166016,1.4527838230133057,31.580143690109253
30,6,6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1.0,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,2,0.9018162996423866,0.99,0.9433845791191224,0.9178995094943372,0.0463114710141603,0.0210818510677892,0.0308059356912922,0.0401749510909775,0.3391469641469641,0.155,0.2050541470641581,0.2628224206349206,0.215935735491635,0.1189070598782464,0.1389393686452533,0.164005330993715,0.2,0.01,0.019047619047619,0.0416666666666666,0.4216370213557839,0.0210818510677891,0.0401559067957889,0.0878410461157883,0.5418078339788865,0.4349999999999999,0.4755100086585375,0.5105888634938222,0.1314023105280367,0.1415195314356918,0.1286585761413776,0.1257493116961744,models/2_6_PHM_C04_SS_NoNBD__RF_Model_01-Jul-2023_15-34_0.90_0.99_0.92.mdl,188.73698449134827,32.304914474487305,1.4527835845947266,31.69568252563477
31,7,7,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,1.0,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,2,0.8106635715331368,0.92,0.8606623641501328,0.8297183539640436,0.0765195991917347,0.0674948557710552,0.0649401349861704,0.0712732211845862,0.4835173203876932,0.475,0.4777567090245836,0.4808229622631796,0.0971145493616971,0.1160699023098676,0.1031546027009636,0.0984869695522809,0.4921727395411605,0.97,0.6529514903565167,0.5459390415785764,0.0110610055113714,0.0421637021355783,0.0193451929583472,0.0135809038385062,0.5367919799498747,0.485,0.5081085749378432,0.524521312021312,0.0614932666851597,0.0914391114956346,0.0752880567960032,0.0662346394040032,models/2_7_PHM_C04_SS_LowNBD__RF_Model_01-Jul-2023_15-38_0.81_0.92_0.83.mdl,174.49027967453003,32.13308000564575,1.4371616840362549,31.539469718933105
32,8,8,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,1.0,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,2,0.7476351426351426,0.485,0.5853060112203441,0.6714463087866726,0.1023777498179027,0.0914391114956346,0.0901347998122625,0.0909609409623891,0.5322126022126021,0.575,0.5507680135212706,0.5390583514332578,0.0578104640369031,0.097894501037256,0.0694015091170324,0.0603181895409592,0.1399999999999999,0.03,0.0493333333333333,0.0805555555555555,0.2558211180579986,0.053748384988657,0.0886357506669644,0.145491221292733,0.3778679653679653,0.215,0.2703089173108148,0.3237439552406657,0.09347062696819,0.0818195847242238,0.0876500807807602,0.0895845305612266,models/2_8_PHM_C04_SS_HighNBD__RF_Model_01-Jul-2023_15-42_0.75_0.48_0.67.mdl,150.8487150669098,31.75816798210144,1.4215407371520996,30.633431911468502
33,9,9,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,1.0,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL2,,100,70,2,0.6888547533708824,1.0,0.8153108051731331,0.734352453102453,0.0350372081395318,0.0,0.0243563893164309,0.0317689973612965,0.5236621477937267,0.48,0.4977520724889146,0.5121995054060271,0.0620902422437932,0.0918936583472681,0.064186711932135,0.0586006513058585,0.3,0.025,0.0451345755693581,0.0885416666666666,0.4830458915396479,0.0485912657903775,0.0855194717967855,0.1592118960848663,0.4128571428571428,0.085,0.1369821289821289,0.2210588023088022,0.3248450606505744,0.0668746754924629,0.1039506470531514,0.1616634989744648,models/2_9_PHM_C06_SS_NoNBD__RF_Model_01-Jul-2023_15-46_0.69_1.00_0.73.mdl,184.65976786613464,31.75816750526428,1.4215409755706787,30.57094645500183
34,10,10,10,SS,PHM C06 SS LBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_LowNBD.mdl,1.0,-1,-40,0.13,0.95,1000,0.05,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL2,,100,70,2,1.0,0.2,0.3265432474128126,0.5354437229437229,0.0,0.0816496580927726,0.1111201437598908,0.1250183756180302,0.4887766641570989,0.4549999999999999,0.4641511629459289,0.4759081196581197,0.070141351672803,0.1141392911217595,0.0834049058874901,0.0673282513384669,0.4987179487179487,0.98,0.6609779855834794,0.5530156213295748,0.0072775155409942,0.0258198889747161,0.0110036350620006,0.0082594770654077,0.4823248023905918,0.32,0.3790296811594986,0.4321440620782725,0.1447040869161323,0.1032795558988644,0.1057129406210828,0.1181220545456497,models/2_10_PHM_C06_SS_LowNBD__RF_Model_01-Jul-2023_15-50_1.00_0.20_0.54.mdl,180.66070580482483,32.44531774520874,1.4527831077575684,34.27112412452698
35,11,11,11,SS,PHM C06 SS HBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_HighNBD.mdl,1.0,-1,-40,0.13,0.9,100,0.1,800,348,PHM_C06_SS,Separate test set.,40,10,results/MRL2,,100,70,2,0.6085313949120957,0.955,0.742526859177052,0.655760079932874,0.0461313620887118,0.0497214463005876,0.0421949632260697,0.0446882317924021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3299999999999999,0.0349999999999999,0.0601385281385281,0.1095238095238095,0.447337804249888,0.0625832778517286,0.1014553140344134,0.1662456890440301,0.4159523809523809,0.1149999999999999,0.177020208454991,0.2655133061383061,0.229237483045764,0.0747217059048663,0.1095234499331119,0.1540818319660696,models/2_11_PHM_C06_SS_HighNBD__RF_Model_01-Jul-2023_15-54_0.61_0.95_0.66.mdl,214.41913414001465,40.64670586585999,1.9526660442352293,37.17876982688904
36,0,0,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,1.0,-1,-100,3.0,1.0,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,3,0.9763852813852816,0.99,0.9827959438935048,0.9788586182336182,0.0328685274146767,0.0210818510677892,0.0201522218850965,0.0270482594348892,0.3,0.015,0.0285714285714285,0.0624999999999999,0.4830458915396479,0.0241522945769824,0.0460043706228236,0.1006345607374266,0.4998595761753656,0.965,0.6584392014519056,0.5531341236283096,0.0188390426636335,0.052967495273569,0.0274334815253039,0.0214205876886163,0.4236981156098803,0.24,0.3016553013183255,0.3621120290528185,0.1193013018888805,0.1125462867742275,0.1192079221910268,0.1203867670400183,models/3_0_Dasic_NoNBD__RF_Model_01-Jul-2023_16-17_0.98_0.99_0.98.mdl,79.3859531879425,41.17783164978027,1.8120734691619875,36.569533824920654
37,1,1,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,1.0,-1,-100,3.0,1.0,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,3,0.6907728163567985,1.0,0.8167947178871549,0.7361641626347508,0.028884269398696,0.0,0.020440046983321,0.0263597593566586,0.5549603174603174,0.185,0.2736422692194805,0.3883720446220445,0.1520360093522245,0.0668746754924629,0.0895590622884898,0.112258106696464,0.1833333333333333,0.015,0.0273103707886316,0.0543154761904761,0.3374742788552765,0.0241522945769824,0.0440172071673747,0.0883194239626423,0.4654761904761905,0.11,0.1753869158216983,0.2763330419580419,0.3664333931219427,0.0809663853432741,0.1289003695287871,0.2052261739618069,models/3_1_Dasic_LowNBD__RF_Model_01-Jul-2023_16-20_0.69_1.00_0.74.mdl,77.95847034454346,40.47487092018128,1.9526655673980715,39.079129219055176
38,2,2,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,1.0,-1,-100,3.0,1.0,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MRL2,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,3,0.8907591754650579,0.605,0.709306089859629,0.8026952764484733,0.079733580777454,0.1480427866080163,0.1084707774746146,0.0698227466704381,0.4882790309106098,0.445,0.463609254899748,0.4775204222000561,0.117525065937284,0.1480427866080163,0.1326202010839633,0.123390568536923,0.5065452091767881,0.995,0.6712448860315605,0.5616631430584919,0.011160493161885,0.0158113883008419,0.0110912224980911,0.0112161531511967,0.506368783211225,0.51,0.5036485704248781,0.5039645958552995,0.0827564954617292,0.1220200347848208,0.0954728349989248,0.0849433451112008,models/3_2_Dasic_HighNBD__RF_Model_01-Jul-2023_16-23_0.89_0.60_0.80.mdl,75.18760085105896,40.19368600845337,1.905802011489868,38.38160824775696
39,3,3,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,1.0,-2,-40,0.12,0.95,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,3,0.616142688747053,1.0,0.7622587122254159,0.6672799896484106,0.0232424816222171,0.0,0.0175237214971919,0.0216941414005094,0.505407565356078,0.495,0.4982976220246722,0.5021026175224076,0.0758196245741579,0.0955975359979999,0.0792916000227669,0.0755075630352214,0.4922383922383922,0.965,0.6518584597085935,0.5456800144300143,0.0066834558753028,0.0337474278855276,0.0132993849129843,0.0085887601402308,0.5262392272952914,0.61,0.5625579698589457,0.5396635534368583,0.0579095811020958,0.0875595035770912,0.0581942010711495,0.0547676811699269,models/3_3_PHM_C01_SS_NoNBD__RF_Model_01-Jul-2023_16-25_0.62_1.00_0.67.mdl,240.14262294769287,39.3087797164917,1.8589372634887693,37.709895610809326
40,4,4,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,1.0,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,3,1.0,0.655,0.7905310217928814,0.9037049578603372,0.0,0.0497214463005876,0.0373627578934704,0.0200783453440068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666666666666666,0.03,0.0546207415772633,0.1086309523809523,0.4830458915396479,0.0421637021355784,0.0757260658163503,0.1468203693905475,0.5402320800114918,0.375,0.4375283945744071,0.4915065372588255,0.1237672309428064,0.0790569415042095,0.0776286514482651,0.0929447456493914,models/3_4_PHM_C01_SS_LowNBD__RF_Model_01-Jul-2023_16-31_1.00_0.66_0.90.mdl,213.6113636493683,32.8204185962677,1.499643087387085,31.60195302963257
41,5,5,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,1.0,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MRL2,,100,70,3,0.6887886893726716,0.99,0.8119188313623322,0.7332048823317205,0.0309545323212333,0.0210818510677892,0.0225493447864045,0.0281479649834539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.985,0.6632573543736606,0.5546012450082217,0.0085470085470085,0.0241522945769824,0.0119845088231299,0.0095356990065594,0.5047533664642293,0.4599999999999999,0.478680199834333,0.4932036562471345,0.068535681950911,0.107496769977314,0.085104181464866,0.0734448986855687,models/3_5_PHM_C01_SS_HighNBD__RF_Model_01-Jul-2023_16-35_0.69_0.99_0.73.mdl,138.35813856124878,32.85166096687317,1.4996466636657717,31.695682287216187
42,6,6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,1.0,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MRL2,,100,70,3,0.4961538461538461,0.975,0.6576076368595363,0.5501820530890298,0.0086531866373148,0.0263523138347365,0.0128321236743141,0.0098742123614232,0.5259386008728114,0.4,0.450304279054279,0.4915077215096565,0.0623447635720818,0.0849836585598797,0.061749805946911,0.0555824255616059,0.9554166666666668,0.735,0.8304481792717088,0.9010338345864662,0.0426300660433947,0.0337474278855276,0.0325605833878229,0.0362649126385684,0.5407163128409258,0.8799999999999999,0.6686888973471123,0.5853989496431357,0.0327371163913313,0.0788810637746615,0.0379571100685046,0.033192588852314,models/3_6_PHM_C04_SS_NoNBD__RF_Model_01-Jul-2023_16-39_0.50_0.97_0.55.mdl,189.0732741355896,32.82041621208191,1.4996469020843506,31.695682287216187
