,Round,expt_n,environment,environment_info,data_file,Model_name,environment.1,R1,R2,R3,wear_threshold,threshold_factor,add_noise,breakdown_chance,episodes,milling_operations_max,version_prefix,test_info,test_cases,test_rounds,results_folder,test_file,train_sample_rate,test_sample_rate,RF_Pr,RF_Rc,RF_F1,RF_F05,RF_Pr_sd,RF_Rc_sd,RF_F1_sd,RF_F05_sd,A2C_Pr,A2C_Rc,A2C_F1,A2C_F05,A2C_Pr_sd,A2C_Rc_sd,A2C_F1_sd,A2C_F05_sd,DQN_Pr,DQN_Rc,DQN_F1,DQN_F05,DQN_Pr_sd,DQN_Rc_sd,DQN_F1_sd,DQN_F05_sd,PPO_Pr,PPO_Rc,PPO_F1,PPO_F05,PPO_Pr_sd,PPO_Rc_sd,PPO_F1_sd,PPO_F05_sd,model_file,RF_time,A2C_time,DQN_time,PPO_time
15,6,0,SS,Simulated NBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_NoNBD.mdl,SS,1,-1,-100,3.0,1.0,0,0.0,800,121,Dasic,Separate test set.,40,10,results/MultiRound,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.926112366,0.98,0.951661244,0.936021825,0.037101263,0.025819889,0.019318977,0.028969958,0.510986051,0.575,0.539161324,0.521501548,0.069163789,0.10069205,0.078028746,0.071331302,0.475954396,0.89,0.620138782,0.52474882,0.012444671,0.031622777,0.016693713,0.013665408,0.276666667,0.05,0.083258133,0.140584416,0.210847789,0.047140452,0.074877441,0.117464944,models/1_0_Dasic_NoNBD__RF_Model_28-Jun-2023_17-26.mdl,133.5546029,17.0149262,2.15114665,19.97284937
16,6,1,SS,Simulated LBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_LowNBD.mdl,SS,1,-1,-100,3.0,1.0,1000,0.05,800,121,Dasic,Separate test set.,40,10,results/MultiRound,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.956190476,0.975,0.965240775,0.959727564,0.015438497,0.026352314,0.013122692,0.011954849,0.526681427,0.525,0.522415246,0.52398604,0.109574174,0.14953632,0.127198605,0.116050665,0.582547906,0.97,0.727863785,0.633099446,0.007344048,0.025819889,0.011850299,0.008541471,0.461919192,0.21,0.28408143,0.365535078,0.141404762,0.087559504,0.10447337,0.118320697,models/1_1_Dasic_LowNBD__RF_Model_28-Jun-2023_17-29.mdl,108.1145582,16.41461039,2.385128736,19.83323264
17,6,2,SS,Simulated HBD,data\Simulated_Dasic_2006_Tool_Wear_Model_Train.csv,RF_Model_Dasic_HighNBD.mdl,SS,1,-1,-100,3.0,1.0,100,0.1,800,121,Dasic,Separate test set.,40,10,results/MultiRound,data\Simulated_Dasic_2006_Tool_Wear_Model_Test.csv,1,2,0.839113553,0.965,0.896333216,0.860844591,0.053268705,0.033747428,0.030071421,0.043895441,0.871428571,0.07,0.121885522,0.233630952,0.319083154,0.067494856,0.097275851,0.131994784,0.498717949,0.99,0.663257354,0.553654275,0.004054202,0.021081851,0.007649202,0.004981987,0.636419414,0.295,0.390347201,0.498087841,0.175389943,0.125720148,0.128760006,0.126384412,models/1_2_Dasic_HighNBD__RF_Model_28-Jun-2023_17-32.mdl,110.2886248,16.36086154,2.034357786,20.16388965
18,6,3,SS,PHM C01 SS NBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_NoNBD.mdl,SS,1,-2,-40,0.12,0.95,0,0.0,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.975808081,0.9,0.934812977,0.958578199,0.045128177,0.052704628,0.03109509,0.034456321,0.656310601,0.49,0.55652792,0.610311599,0.066488431,0.06992059,0.051148578,0.045389858,0.2,0.02,0.036363636,0.071428571,0.349602949,0.034960295,0.063564173,0.124858196,0.510781979,0.505,0.504661382,0.507623934,0.109274604,0.146154408,0.117634178,0.110419376,models/1_3_PHM_C01_SS_NoNBD__RF_Model_28-Jun-2023_17-34.mdl,352.1278496,41.32086325,4.999767303,36.97804427
19,6,4,SS,PHM C01 SS LBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_LowNBD.mdl,SS,1,-1,-100,0.12,0.9,1000,0.05,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48004988,0.44,0.45805371,0.470712534,0.090398532,0.093689795,0.089286648,0.089155861,0.416666667,0.03,0.055053642,0.111607143,0.466468212,0.034960295,0.062726974,0.122561003,0.518925422,0.54,0.526718499,0.521492471,0.046639888,0.077459667,0.047277584,0.043341104,models/1_4_PHM_C01_SS_LowNBD__RF_Model_28-Jun-2023_17-42.mdl,189.4019406,12.72764778,0.987154484,11.06047559
20,6,5,SS,PHM C01 SS HBD,data\PHM_Tool_Wear_Data_C01_0p12.csv,RF_Model_PHM_C01_SS_HighNBD.mdl,SS,1,-1,-40,0.12,0.85,100,0.1,800,348,PHM_C01_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.831666667,0.215,0.336357706,0.516657648,0.159561513,0.094428103,0.120859011,0.139689835,0.498717949,0.995,0.66440678,0.553977273,0.004054202,0.015811388,0.00714639,0.004990969,0.35,0.02,0.037662338,0.080357143,0.474341649,0.025819889,0.048637926,0.104095781,0.345,0.075,0.121885173,0.196843434,0.188897059,0.042491829,0.06723953,0.105597194,models/1_5_PHM_C01_SS_HighNBD__RF_Model_28-Jun-2023_17-45.mdl,60.20845962,11.76695061,0.927034855,10.72596669
21,6,6,SS,PHM C04 SS NBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_NoNBD.mdl,SS,1,-1,-40,0.098,0.95,0,0.0,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.853058536,0.955,0.900867765,0.871501463,0.041322087,0.049721446,0.041766199,0.04081019,0.547303124,0.62,0.578224765,0.558633689,0.070749958,0.078881064,0.057316049,0.062883814,0.571968901,0.97,0.719485371,0.623053215,0.019535302,0.053748385,0.029670663,0.022704558,0.499647325,0.555,0.524949788,0.509272917,0.062987504,0.086442017,0.070159226,0.064818132,models/1_6_PHM_C04_SS_NoNBD__RF_Model_28-Jun-2023_17-47.mdl,142.2899225,11.68919897,0.98498702,10.79761314
22,6,7,SS,PHM C04 SS LBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_LowNBD.mdl,SS,1,-1,-40,0.098,0.85,1000,0.05,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.700064935,0.46,0.54574378,0.623297289,0.049960394,0.141027972,0.126931201,0.095151471,0.522463457,0.6,0.554418962,0.533905124,0.097356716,0.105409255,0.086728278,0.090558049,0.047619048,0.015,0.022792023,0.033143939,0.076947299,0.024152295,0.036706834,0.053429012,0.527877285,0.755,0.619492673,0.560768065,0.046586084,0.086442017,0.050944473,0.046154857,models/1_7_PHM_C04_SS_LowNBD__RF_Model_28-Jun-2023_17-49.mdl,128.3230038,12.029562,0.917366743,10.738271
23,6,8,SS,PHM C04 SS HBD,data\PHM_Tool_Wear_Data_C04_0p098.csv,RF_Model_PHM_C04_SS_HighNBD.mdl,SS,1,-1,-100,0.098,0.9,100,0.1,800,348,PHM_C04_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.60634373,0.46,0.517919996,0.565688145,0.073219222,0.130809446,0.107101521,0.087621995,0.445970105,0.345,0.387598517,0.420147918,0.079284453,0.079756574,0.077545519,0.077632922,0.216666667,0.03,0.05256917,0.095982143,0.368932394,0.053748385,0.09364707,0.169031506,0.516145494,0.64,0.570532721,0.536436472,0.073456566,0.1197219,0.091168563,0.079499657,models/1_8_PHM_C04_SS_HighNBD__RF_Model_28-Jun-2023_17-52.mdl,127.2905283,11.90745497,0.936891556,10.73980975
24,6,9,SS,PHM C06 SS NBD,data\PHM_Tool_Wear_Data_C06_0p13.csv,RF_Model_PHM_C06_SS_NoNBD.mdl,SS,1,-1,-40,0.13,0.95,0,0.0,800,348,PHM_C06_SS,Separate test set.,40,10,results/MultiRound,,100,70,0.889422172,0.985,0.934201099,0.906686648,0.049703737,0.024152295,0.032407637,0.042671976,0.534402303,0.87,0.661409222,0.57877638,0.031003963,0.063245553,0.036350153,0.032135483,0.35,0.025,0.046320346,0.095238095,0.411636301,0.026352314,0.048851513,0.100976275,0.600530629,0.59,0.585624681,0.591866584,0.119409782,0.132916014,0.09554932,0.100720395,models/1_9_PHM_C06_SS_NoNBD__RF_Model_28-Jun-2023_17-55.mdl,142.3016269,12.68584108,0.937730312,10.87913203
